opponent_name,champ_sylas
ahri,47.89
zed,52.17
yasuo,49.79
akali,51.72
leblanc,50.70
yone,49.50
vex,50.28
viktor,48.73
katarina,49.92
ryze,51.91
irelia,53.95
talon,47.89
twisted fate,50.78
veigar,46.27
lissandra,51.07
fizz,51.71
kassadin,50.04
ekko,51.44
zoe,49.29
anivia,46.97
orianna,48.60
cassiopeia,44.43
corki,53.55
lux,50.15
akshan,45.62
malzahar,45.32
syndra,48.98
galio,50.11
xerath,49.25
vladimir,48.69
malphite,56.56
diana,49.82
qiyana,51.53
azir,53.32
lucian,57.07
neeko,49.42
pantheon,46.27
sion,51.27
zeri,50.59
renekton,51.17
annie,47.20
zilean,45.32
rumble,47.22
sett,47.07
nunu & willump,55.38
garen,47.58
cho'gath,48.79
aurelion sol,48.92
singed,48.78
