opponent_name,champ_syndra
ahri,46.97
vex,48.87
leblanc,47.19
viktor,49.53
zed,47.87
yasuo,50.94
yone,52.45
ryze,50.05
sylas,51.02
akali,49.82
veigar,45.60
katarina,44.29
irelia,48.73
zoe,46.50
talon,46.92
anivia,47.00
lissandra,48.86
fizz,45.24
twisted fate,48.50
orianna,48.98
akshan,47.52
lux,45.73
xerath,49.23
corki,51.35
ekko,43.61
cassiopeia,48.37
kassadin,46.79
malzahar,45.83
azir,53.75
vladimir,51.46
galio,45.45
qiyana,46.67
diana,46.09
neeko,51.34
lucian,54.17
annie,40.48
sion,48.06
zeri,56.00
pantheon,48.67
malphite,44.76
rumble,47.33
nunu & willump,47.20
zilean,46.43
renekton,43.24
sett,42.67
aurelion sol,42.86
garen,53.97
cho'gath,41.67
