opponent_name,champ_talon
ahri,50.64
zed,49.43
vex,49.34
leblanc,52.89
yasuo,50.29
sylas,52.11
akali,54.83
yone,51.69
viktor,51.85
katarina,52.73
ryze,56.42
irelia,49.43
veigar,50.20
twisted fate,53.11
lissandra,52.34
fizz,49.71
anivia,48.90
zoe,50.56
akshan,49.42
corki,56.33
lux,50.46
xerath,55.78
syndra,53.08
qiyana,49.84
vladimir,50.68
malzahar,48.46
kassadin,56.99
orianna,55.94
ekko,53.44
galio,57.09
malphite,51.20
cassiopeia,50.43
diana,50.82
pantheon,51.45
azir,50.99
neeko,49.74
zeri,49.48
lucian,54.68
renekton,50.75
sion,52.56
sett,49.64
rumble,56.16
annie,48.70
garen,53.62
zilean,52.68
nunu & willump,51.60
cho'gath,45.45
singed,43.93
aurelion sol,43.56
