opponent_name,champ_twistedfate
ahri,48.04
sylas,49.22
leblanc,52.32
vex,51.13
zed,48.73
viktor,48.46
yasuo,44.16
akali,51.99
yone,50.92
ryze,54.90
katarina,45.90
talon,46.89
veigar,45.42
irelia,46.91
fizz,46.60
anivia,46.45
lissandra,46.26
zoe,51.00
xerath,45.77
akshan,53.65
lux,50.50
syndra,51.50
orianna,51.20
corki,53.59
kassadin,49.19
malzahar,46.50
ekko,52.96
galio,52.32
cassiopeia,50.54
qiyana,49.86
vladimir,52.07
zeri,39.60
azir,50.50
lucian,51.54
diana,47.12
neeko,53.16
sion,48.29
pantheon,44.29
nunu & willump,45.50
malphite,59.39
annie,48.07
rumble,44.10
zilean,44.16
renekton,46.15
aurelion sol,47.17
sett,45.28
cho'gath,43.16
garen,46.59
singed,43.55
