opponent_name,champ_veigar
ahri,51.22
vex,56.84
leblanc,55.36
viktor,50.52
yasuo,52.61
yone,54.07
sylas,53.73
zed,47.91
ryze,59.44
akali,56.31
katarina,48.19
talon,49.80
irelia,52.97
kassadin,46.87
fizz,48.24
xerath,47.34
twisted fate,54.58
corki,52.80
anivia,48.05
lissandra,52.91
zoe,54.80
syndra,54.40
lux,53.54
akshan,52.19
ekko,46.69
malzahar,51.57
vladimir,54.74
orianna,55.73
qiyana,56.52
azir,58.53
cassiopeia,51.21
galio,55.17
sion,51.42
diana,49.60
zeri,57.38
neeko,49.72
lucian,53.69
annie,49.01
pantheon,52.94
malphite,55.19
nunu & willump,54.30
zilean,51.64
rumble,57.01
renekton,50.54
cho'gath,52.29
garen,44.08
sett,52.94
aurelion sol,38.14
singed,52.75
