opponent_name,champ_vex
ahri,47.31
leblanc,56.06
viktor,45.78
yasuo,53.12
zed,47.85
sylas,49.72
yone,53.96
veigar,43.16
akali,52.77
ryze,52.86
katarina,51.63
talon,50.66
irelia,49.47
syndra,51.13
twisted fate,48.87
zoe,50.09
lissandra,48.79
anivia,46.56
xerath,47.67
lux,50.70
corki,52.63
fizz,45.02
akshan,48.88
orianna,51.76
kassadin,48.61
ekko,45.41
cassiopeia,49.22
malzahar,50.47
vladimir,48.38
azir,55.42
qiyana,51.70
galio,48.24
neeko,48.59
diana,45.05
zeri,49.73
lucian,51.77
pantheon,44.79
sion,48.83
annie,43.01
zilean,44.27
malphite,53.97
nunu & willump,48.17
rumble,44.03
renekton,52.50
cho'gath,47.77
garen,47.77
aurelion sol,41.70
sett,47.41
singed,40.63
