opponent_name,champ_viktor
ahri,48.14
vex,54.22
leblanc,51.88
yone,52.02
yasuo,52.86
zed,49.66
sylas,51.27
ryze,56.00
akali,49.96
veigar,49.48
irelia,51.52
katarina,52.70
talon,48.15
corki,54.63
twisted fate,51.54
syndra,50.47
anivia,51.40
lissandra,53.66
xerath,47.76
orianna,50.99
zoe,50.93
akshan,49.30
lux,51.13
fizz,48.22
ekko,47.10
kassadin,48.86
cassiopeia,51.05
malzahar,50.29
azir,52.49
vladimir,52.07
qiyana,49.29
galio,52.01
diana,47.18
lucian,58.71
zeri,46.86
sion,52.60
neeko,49.90
annie,45.77
pantheon,49.76
nunu & willump,49.00
zilean,45.21
malphite,49.00
rumble,53.40
renekton,51.04
garen,46.93
cho'gath,48.43
sett,50.25
aurelion sol,45.78
singed,44.09
