opponent_name,champ_vladimir
ahri,48.53
zed,51.41
leblanc,51.25
yasuo,52.74
vex,51.62
sylas,51.31
yone,50.34
viktor,47.93
akali,53.71
katarina,56.78
veigar,45.26
talon,49.32
ryze,50.26
irelia,49.48
fizz,51.94
twisted fate,47.93
lissandra,48.33
anivia,42.86
kassadin,48.13
akshan,50.00
corki,51.17
zoe,48.65
malzahar,45.99
syndra,48.54
lux,49.44
xerath,52.49
orianna,53.60
cassiopeia,43.30
qiyana,48.29
ekko,50.00
galio,50.00
azir,40.96
lucian,58.43
diana,45.06
sion,50.72
zeri,42.03
pantheon,53.13
neeko,46.03
malphite,50.00
annie,53.54
renekton,59.14
rumble,48.91
nunu & willump,47.78
zilean,40.54
cho'gath,50.72
sett,55.22
garen,43.33
