opponent_name,champ_xerath
ahri,48.87
vex,52.33
viktor,52.24
leblanc,51.32
zed,46.81
yasuo,47.54
yone,51.31
veigar,52.66
sylas,50.75
akali,50.43
ryze,51.55
anivia,52.21
katarina,47.62
irelia,48.48
talon,44.22
twisted fate,54.23
lux,55.28
lissandra,53.16
fizz,46.00
syndra,50.77
corki,55.06
zoe,50.25
akshan,45.36
orianna,54.68
malzahar,49.87
azir,57.80
kassadin,44.74
cassiopeia,53.27
vladimir,47.51
ekko,45.31
galio,53.33
qiyana,45.96
annie,54.42
diana,46.15
neeko,49.75
lucian,50.79
zeri,57.54
malphite,53.29
sion,45.63
nunu & willump,39.74
pantheon,46.04
zilean,47.93
rumble,57.58
renekton,46.25
sett,48.57
cho'gath,48.53
garen,48.39
aurelion sol,28.30
singed,44.23
