opponent_name,champ_yasuo
ahri,47.53
zed,50.59
yone,49.38
leblanc,50.92
sylas,50.21
vex,46.88
akali,47.43
viktor,47.14
katarina,50.53
ryze,56.36
talon,49.71
irelia,50.70
veigar,47.39
lissandra,47.61
renekton,47.85
twisted fate,55.84
anivia,46.67
fizz,48.50
zoe,50.47
akshan,53.69
xerath,52.46
lux,53.52
corki,53.97
syndra,49.06
vladimir,47.26
orianna,51.06
malzahar,46.14
kassadin,50.77
pantheon,48.23
ekko,49.88
malphite,45.22
azir,52.48
galio,49.42
qiyana,53.97
cassiopeia,46.33
zeri,45.54
sett,50.62
lucian,52.19
neeko,47.83
annie,41.34
diana,47.23
garen,48.00
rumble,45.77
sion,51.65
nunu & willump,47.34
zilean,48.36
cho'gath,47.85
aurelion sol,43.52
singed,45.36
