opponent_name,champ_yone
ahri,46.15
yasuo,50.62
akali,49.44
sylas,50.50
leblanc,48.50
vex,46.04
zed,49.09
viktor,47.98
ryze,53.52
katarina,49.17
irelia,49.62
talon,48.31
veigar,45.93
zoe,52.20
lissandra,49.38
anivia,46.07
twisted fate,49.08
akshan,46.13
lux,48.80
fizz,50.50
syndra,47.55
corki,52.34
xerath,48.69
kassadin,46.93
orianna,48.39
ekko,48.48
vladimir,49.66
malzahar,48.59
galio,50.77
renekton,52.65
cassiopeia,46.19
azir,53.43
qiyana,48.95
malphite,47.04
neeko,43.67
diana,49.52
pantheon,47.85
lucian,50.00
sion,52.63
zeri,51.52
annie,45.64
sett,45.19
garen,45.98
nunu & willump,47.90
zilean,46.20
rumble,53.99
cho'gath,46.94
singed,35.85
aurelion sol,41.56
