opponent_name,champ_zed
ahri,49.98
leblanc,52.03
yasuo,49.41
sylas,47.83
vex,52.15
yone,50.91
akali,48.56
malphite,43.86
talon,50.57
viktor,50.34
irelia,46.61
ryze,54.47
katarina,50.26
lissandra,50.27
fizz,49.07
veigar,52.09
twisted fate,51.27
ekko,47.01
anivia,48.98
zoe,51.92
lux,52.25
akshan,51.00
qiyana,47.82
xerath,53.19
vladimir,48.59
syndra,52.13
malzahar,49.09
orianna,53.37
diana,46.00
corki,56.34
cassiopeia,53.49
sion,43.95
pantheon,48.42
renekton,48.63
azir,52.01
galio,48.35
garen,46.48
zeri,52.90
lucian,52.31
kassadin,53.31
rumble,50.09
sett,51.84
neeko,49.82
nunu & willump,48.33
annie,48.91
zilean,47.67
cho'gath,50.60
aurelion sol,52.08
singed,44.07
