opponent_name,champ_zeri
ahri,45.45
leblanc,50.67
vex,50.27
yasuo,54.46
zed,47.10
viktor,53.14
sylas,49.41
yone,48.48
katarina,42.19
ryze,56.55
talon,50.52
veigar,42.62
akali,52.38
twisted fate,60.40
lissandra,46.94
irelia,52.42
anivia,46.90
zoe,46.43
akshan,44.24
corki,55.24
fizz,45.77
syndra,44.00
xerath,42.46
lux,47.73
lucian,47.73
orianna,53.76
ekko,54.65
kassadin,59.41
malzahar,50.90
cassiopeia,47.47
galio,55.56
qiyana,45.39
vladimir,57.97
diana,53.60
malphite,44.17
azir,52.94
sion,56.00
neeko,41.41
pantheon,52.87
renekton,64.63
annie,54.43
rumble,62.12
sett,55.74
nunu & willump,59.02
garen,47.46
cho'gath,57.14
