opponent_name,champ_zilean
ahri,51.30
vex,55.73
leblanc,48.43
zed,52.33
sylas,54.68
viktor,54.79
yone,53.80
akali,55.45
yasuo,51.64
veigar,48.36
ryze,59.92
talon,47.32
katarina,52.97
irelia,48.17
twisted fate,55.84
anivia,46.98
lissandra,57.64
zoe,45.52
corki,54.03
xerath,52.07
ekko,55.17
orianna,48.25
syndra,53.57
fizz,60.19
akshan,59.41
malzahar,53.06
kassadin,51.04
lux,49.47
qiyana,48.31
cassiopeia,65.00
neeko,42.11
vladimir,59.46
diana,49.32
lucian,44.44
azir,57.14
galio,51.85
sion,39.62
annie,47.06
