opponent_name,champ_zoe
ahri,49.08
leblanc,51.95
vex,49.91
yone,47.80
zed,48.08
sylas,50.71
viktor,49.07
yasuo,49.53
ryze,53.08
akali,50.74
veigar,45.20
katarina,48.46
irelia,45.03
talon,49.44
syndra,53.50
twisted fate,49.00
lissandra,46.72
anivia,46.85
fizz,52.49
akshan,48.67
lux,51.70
orianna,50.00
corki,57.76
malzahar,41.52
xerath,49.75
kassadin,49.74
ekko,51.87
qiyana,51.87
cassiopeia,51.13
galio,46.38
vladimir,51.35
azir,54.74
lucian,46.40
neeko,51.30
diana,45.61
zeri,53.57
annie,45.00
sion,48.52
pantheon,52.44
nunu & willump,47.65
malphite,48.53
zilean,54.48
rumble,52.63
renekton,56.76
aurelion sol,41.56
sett,45.45
garen,44.16
cho'gath,45.83
