opponent_name,champ_alistar
blitzcrank,50.68
nautilus,52.39
leona,51.21
thresh,53.04
karma,48.10
lulu,47.41
yuumi,52.41
lux,48.74
pyke,52.27
morgana,49.22
xerath,49.54
senna,48.28
renata glasc,50.25
soraka,47.61
maokai,48.80
rakan,52.63
zyra,47.95
nami,52.55
zilean,49.16
janna,45.34
rell,52.73
pantheon,55.61
brand,50.53
braum,48.82
shaco,45.95
swain,41.80
galio,55.30
tahm kench,53.98
sett,49.46
seraphine,47.71
vel'koz,50.30
bard,47.40
zac,49.34
sona,54.48
veigar,49.65
gragas,54.92
neeko,45.61
amumu,52.05
taric,51.24
shen,54.12
anivia,45.32
