opponent_name,champ_blitzcrank
thresh,54.94
karma,54.46
lux,53.65
nautilus,49.51
leona,49.52
yuumi,55.35
alistar,49.32
lulu,52.90
morgana,53.03
xerath,52.49
pyke,53.91
senna,52.24
renata glasc,54.02
soraka,50.90
zilean,49.50
rakan,50.78
zyra,51.39
maokai,51.30
nami,53.23
brand,51.63
shaco,47.96
braum,49.12
pantheon,54.83
swain,48.81
janna,50.95
vel'koz,54.73
sett,52.15
seraphine,53.56
rell,49.53
bard,50.68
tahm kench,54.26
galio,52.38
sona,52.23
veigar,55.16
zac,51.42
neeko,50.47
shen,52.26
amumu,51.25
taric,50.00
gragas,56.35
anivia,53.02
