opponent_name,champ_brand
lux,50.71
blitzcrank,48.37
karma,52.02
nautilus,47.77
yuumi,48.91
lulu,50.23
thresh,54.83
leona,52.32
xerath,48.18
morgana,52.10
senna,51.94
pyke,48.95
renata glasc,55.24
soraka,50.74
alistar,49.47
zyra,49.04
nami,52.22
zilean,52.88
maokai,48.96
rakan,57.09
seraphine,48.73
pantheon,52.61
shaco,45.68
vel'koz,50.42
swain,54.63
sona,52.71
janna,43.72
tahm kench,53.99
braum,54.05
bard,52.55
rell,46.72
neeko,49.59
galio,50.00
sett,62.28
veigar,57.66
zac,47.75
amumu,54.44
shen,41.98
anivia,63.08
taric,56.00
