opponent_name,champ_janna
leona,51.82
karma,50.28
blitzcrank,49.05
lux,50.94
lulu,52.57
nautilus,50.80
thresh,51.54
yuumi,53.03
alistar,54.66
xerath,51.44
pyke,47.63
senna,48.02
morgana,52.85
renata glasc,53.35
soraka,50.14
zilean,53.09
zyra,50.00
rakan,52.96
nami,52.77
maokai,48.20
brand,56.28
shaco,56.38
rell,54.01
seraphine,51.23
pantheon,49.01
sona,48.06
swain,51.16
bard,53.97
tahm kench,45.90
zac,65.29
vel'koz,46.96
galio,53.76
braum,43.21
sett,67.09
neeko,52.70
veigar,50.00
amumu,46.55
shen,53.85
taric,60.00
