opponent_name,champ_karma
lux,50.33
lulu,49.63
nautilus,44.43
yuumi,48.00
blitzcrank,45.54
thresh,51.08
xerath,48.03
leona,49.02
pyke,47.26
senna,47.78
morgana,51.89
renata glasc,52.57
soraka,47.78
alistar,51.90
zyra,46.71
nami,48.41
zilean,50.09
maokai,44.82
rakan,50.54
brand,47.98
seraphine,50.59
shaco,48.59
janna,49.72
sona,46.46
vel'koz,48.20
swain,51.18
pantheon,50.23
bard,49.84
tahm kench,49.15
rell,47.10
braum,48.27
veigar,52.82
galio,51.42
neeko,47.50
sett,53.94
zac,47.75
amumu,47.98
anivia,45.60
shen,52.01
gragas,52.29
taric,49.22
