opponent_name,champ_lulu
karma,50.37
yuumi,51.26
lux,49.65
thresh,52.44
nautilus,47.60
blitzcrank,47.10
leona,48.84
xerath,49.61
pyke,50.75
senna,48.23
morgana,51.81
renata glasc,50.35
soraka,47.22
alistar,52.59
nami,49.35
zyra,45.50
zilean,49.33
rakan,53.05
brand,49.77
maokai,49.49
shaco,54.21
janna,47.43
seraphine,49.51
sona,46.97
pantheon,53.05
swain,52.84
bard,48.50
vel'koz,47.54
tahm kench,48.71
rell,48.13
braum,54.61
veigar,50.08
galio,55.23
neeko,47.15
zac,48.71
sett,51.80
amumu,46.99
anivia,47.31
shen,52.99
gragas,51.50
taric,53.44
