opponent_name,champ_lux
karma,49.67
blitzcrank,46.35
yuumi,50.98
xerath,46.63
nautilus,46.41
lulu,50.35
thresh,51.64
leona,48.76
morgana,51.94
pyke,47.99
senna,50.63
renata glasc,54.88
soraka,49.55
alistar,51.26
zyra,47.86
nami,50.59
zilean,47.99
brand,49.29
maokai,50.34
rakan,51.24
swain,51.50
shaco,49.43
seraphine,55.61
vel'koz,47.50
pantheon,49.25
janna,49.06
sona,50.26
bard,50.84
veigar,51.52
tahm kench,49.74
neeko,49.87
galio,54.04
rell,51.56
zac,48.87
braum,51.42
sett,53.28
amumu,47.54
anivia,46.08
shen,53.41
gragas,53.90
taric,49.81
