opponent_name,champ_nami
karma,51.59
lux,49.41
lulu,50.65
yuumi,50.69
blitzcrank,46.77
nautilus,45.30
thresh,53.58
xerath,47.41
leona,47.25
pyke,49.40
senna,48.73
morgana,51.25
renata glasc,51.35
soraka,49.49
alistar,47.45
zyra,44.43
zilean,48.22
brand,47.78
rakan,49.22
maokai,45.99
pantheon,47.62
shaco,44.31
seraphine,54.66
swain,53.77
janna,47.23
vel'koz,51.32
sona,46.18
tahm kench,50.25
braum,53.85
bard,49.74
rell,45.56
veigar,57.40
neeko,51.45
galio,52.31
zac,51.79
sett,54.46
anivia,44.57
shen,49.45
amumu,47.30
taric,56.45
gragas,54.10
