opponent_name,champ_nautilus
karma,55.57
blitzcrank,50.49
lux,53.59
yuumi,57.78
thresh,52.66
leona,49.88
lulu,52.40
xerath,53.62
morgana,51.46
alistar,47.61
pyke,53.21
senna,51.28
renata glasc,51.15
soraka,51.79
zilean,50.59
nami,54.70
rakan,52.29
zyra,51.80
maokai,50.61
brand,52.23
braum,50.44
shaco,51.35
swain,48.96
janna,49.20
pantheon,54.69
seraphine,53.86
tahm kench,52.63
rell,46.25
vel'koz,52.33
bard,54.00
sona,54.24
sett,55.84
galio,55.06
veigar,52.90
neeko,47.64
zac,47.40
taric,49.35
shen,56.81
anivia,57.22
amumu,52.89
gragas,56.25
