opponent_name,champ_pantheon
blitzcrank,45.17
yuumi,48.67
karma,49.77
lux,50.75
lulu,46.95
thresh,50.73
nautilus,45.31
leona,45.31
xerath,45.68
pyke,45.44
alistar,44.39
morgana,48.50
senna,47.37
renata glasc,50.70
soraka,48.95
nami,52.38
zilean,46.52
brand,47.39
rakan,54.11
zyra,54.15
maokai,42.86
shaco,49.49
swain,46.63
janna,50.99
seraphine,50.70
braum,51.06
vel'koz,53.68
sona,48.09
galio,46.51
bard,47.90
tahm kench,48.67
rell,50.48
sett,52.53
veigar,50.52
zac,42.11
neeko,47.69
shen,50.79
taric,51.67
amumu,54.72
gragas,52.94
