opponent_name,champ_pyke
blitzcrank,46.09
karma,52.74
lux,52.01
thresh,52.44
nautilus,46.79
yuumi,53.59
lulu,49.25
leona,48.47
xerath,51.93
morgana,50.38
senna,53.15
alistar,47.73
renata glasc,49.44
soraka,48.04
rakan,47.58
maokai,44.22
zilean,50.63
nami,50.60
zyra,49.86
brand,51.05
shaco,42.82
pantheon,54.56
janna,52.37
seraphine,54.16
swain,50.18
bard,52.47
braum,52.32
tahm kench,52.02
sona,50.41
vel'koz,54.04
rell,52.04
galio,55.18
veigar,50.85
sett,59.48
neeko,44.90
zac,44.68
shen,51.09
amumu,49.38
gragas,54.09
taric,58.12
anivia,51.34
