opponent_name,champ_rakan
blitzcrank,49.22
karma,49.46
nautilus,47.71
thresh,53.26
lulu,46.95
yuumi,52.83
lux,48.76
leona,50.93
pyke,52.42
xerath,50.05
morgana,49.15
alistar,47.37
senna,47.34
renata glasc,48.42
soraka,45.11
zilean,49.79
nami,50.78
maokai,41.76
zyra,47.11
brand,42.91
shaco,42.47
janna,47.04
swain,48.54
pantheon,45.89
tahm kench,48.89
bard,49.55
rell,48.70
seraphine,54.55
sona,43.17
vel'koz,49.38
braum,56.69
galio,56.86
zac,48.53
neeko,40.00
veigar,49.56
sett,51.79
gragas,53.66
amumu,43.04
taric,57.75
shen,43.66
anivia,55.71
