opponent_name,champ_renata
karma,47.43
lux,45.12
blitzcrank,45.98
lulu,49.65
yuumi,50.92
nautilus,48.85
thresh,52.02
leona,48.10
xerath,45.76
pyke,50.56
senna,48.59
morgana,48.43
alistar,49.75
soraka,47.35
zyra,46.18
zilean,45.18
nami,48.65
brand,44.76
rakan,51.58
maokai,46.51
shaco,48.90
swain,48.81
seraphine,49.63
pantheon,49.30
janna,46.65
vel'koz,50.34
bard,49.65
sona,46.75
tahm kench,46.60
rell,47.12
neeko,45.67
braum,45.64
veigar,50.00
galio,57.14
sett,61.42
zac,52.44
amumu,51.93
shen,49.68
anivia,43.71
taric,45.71
gragas,49.17
