opponent_name,champ_senna
karma,52.22
lux,49.37
yuumi,52.47
blitzcrank,47.76
nautilus,48.72
lulu,51.77
thresh,53.87
xerath,49.13
leona,49.27
pyke,46.85
morgana,51.86
renata glasc,51.41
soraka,49.03
alistar,51.72
zyra,45.74
nami,51.27
zilean,51.95
brand,48.06
rakan,52.66
maokai,46.65
shaco,55.33
seraphine,54.02
swain,49.84
pantheon,52.63
vel'koz,45.68
sona,50.92
janna,51.98
bard,55.09
tahm kench,52.02
rell,48.74
braum,51.46
veigar,49.01
galio,58.90
neeko,49.29
sett,60.65
zac,49.08
amumu,50.99
shen,54.79
anivia,52.00
taric,52.14
gragas,52.90
