opponent_name,champ_seraphine
karma,49.41
lux,44.39
lulu,50.49
yuumi,49.09
thresh,52.42
nautilus,46.14
blitzcrank,46.44
xerath,44.61
leona,45.72
senna,45.98
pyke,45.84
morgana,50.34
renata glasc,50.37
soraka,43.83
alistar,52.29
zyra,46.06
nami,45.34
zilean,42.91
brand,51.27
maokai,45.64
rakan,45.45
shaco,51.38
swain,50.92
sona,48.77
janna,48.77
pantheon,49.30
vel'koz,51.06
bard,48.03
tahm kench,42.11
neeko,47.83
veigar,42.68
rell,41.33
braum,53.03
zac,55.38
sett,48.44
galio,40.63
amumu,47.46
shen,53.70
