opponent_name,champ_shaco
blitzcrank,52.04
lux,50.57
karma,51.41
nautilus,48.65
yuumi,48.71
thresh,51.09
lulu,45.79
leona,55.08
xerath,52.40
pyke,57.18
senna,44.67
morgana,56.87
renata glasc,51.10
alistar,54.05
soraka,44.44
zyra,53.33
maokai,48.17
zilean,50.29
nami,55.69
rakan,57.53
brand,54.32
pantheon,50.51
janna,43.62
swain,45.90
seraphine,48.62
sona,42.01
vel'koz,52.20
bard,48.65
tahm kench,56.49
rell,56.56
neeko,48.15
galio,50.00
braum,53.00
veigar,52.53
sett,48.05
zac,56.52
amumu,53.03
anivia,58.33
gragas,53.57
shen,39.62
taric,40.38
