opponent_name,champ_swain
lux,48.50
blitzcrank,51.19
karma,48.82
yuumi,52.76
nautilus,51.04
lulu,47.06
thresh,55.17
leona,51.49
xerath,44.17
morgana,48.60
senna,50.16
pyke,49.82
renata glasc,51.19
alistar,58.20
soraka,49.33
zyra,49.85
nami,46.23
zilean,48.16
rakan,51.46
brand,45.37
maokai,50.95
pantheon,53.37
shaco,54.10
seraphine,49.08
vel'koz,45.80
janna,48.84
sona,51.18
bard,50.45
tahm kench,44.55
braum,46.39
rell,59.38
galio,47.19
zac,46.07
neeko,58.02
veigar,49.32
sett,50.00
amumu,41.38
shen,50.94
