opponent_name,champ_thresh
blitzcrank,45.06
karma,48.92
lux,48.36
nautilus,47.34
lulu,47.56
leona,48.05
yuumi,51.93
xerath,46.51
pyke,47.56
morgana,46.49
senna,46.13
alistar,46.96
renata glasc,47.98
soraka,46.02
nami,46.42
rakan,46.74
zilean,45.16
zyra,45.68
maokai,47.74
brand,45.17
shaco,48.91
pantheon,49.27
seraphine,47.58
swain,44.83
janna,48.46
tahm kench,47.31
braum,44.43
vel'koz,48.13
bard,50.12
sona,45.49
rell,47.33
galio,52.01
sett,51.92
neeko,45.96
veigar,50.00
zac,47.74
anivia,44.88
shen,52.83
amumu,47.54
taric,46.30
gragas,53.10
