opponent_name,champ_xerath
lux,53.37
karma,51.97
blitzcrank,47.51
nautilus,46.38
yuumi,49.69
thresh,53.49
lulu,50.39
leona,49.88
pyke,48.07
morgana,53.19
senna,50.87
renata glasc,54.24
soraka,48.47
alistar,50.46
zyra,51.12
nami,52.59
zilean,49.38
brand,51.82
maokai,50.16
rakan,49.95
shaco,47.60
pantheon,54.32
vel'koz,51.44
swain,55.83
seraphine,55.39
sona,49.79
janna,48.56
bard,54.70
tahm kench,48.86
rell,46.91
galio,53.01
veigar,50.68
zac,48.91
neeko,52.03
sett,56.35
amumu,51.56
braum,47.32
shen,51.88
anivia,52.36
gragas,49.77
taric,46.30
