opponent_name,champ_yuumi
karma,52.00
lux,49.02
lulu,48.74
nautilus,42.22
blitzcrank,44.65
thresh,48.07
xerath,50.31
leona,45.18
senna,47.53
pyke,46.41
morgana,51.81
renata glasc,49.08
soraka,50.63
alistar,47.59
nami,49.31
zyra,47.23
zilean,48.34
rakan,47.17
maokai,46.66
brand,51.09
pantheon,51.33
sona,46.82
shaco,51.29
swain,47.24
seraphine,50.91
janna,46.97
vel'koz,51.31
bard,48.07
rell,45.66
tahm kench,49.15
veigar,49.37
galio,48.78
neeko,43.52
braum,47.36
zac,49.22
sett,49.80
amumu,44.54
shen,47.58
anivia,50.58
gragas,52.26
taric,46.31
