opponent_name,champ_zilean
karma,49.91
blitzcrank,50.50
lux,52.01
lulu,50.67
yuumi,51.56
nautilus,49.41
thresh,54.84
leona,53.45
xerath,50.62
pyke,49.37
morgana,54.69
senna,48.05
renata glasc,54.82
soraka,48.49
alistar,50.84
zyra,49.53
rakan,50.21
nami,51.78
maokai,46.44
brand,47.12
shaco,49.71
janna,46.91
seraphine,57.09
pantheon,53.48
swain,51.84
bard,54.55
sona,51.22
vel'koz,51.48
tahm kench,48.61
rell,56.47
veigar,57.50
galio,53.59
braum,59.03
zac,52.38
neeko,50.82
sett,52.99
anivia,45.56
amumu,41.57
shen,51.22
taric,50.62
gragas,45.00
