opponent_name,champ_zyra
karma,53.29
lux,52.14
blitzcrank,48.57
lulu,54.50
yuumi,52.77
nautilus,48.20
thresh,54.32
leona,52.57
xerath,48.88
morgana,57.80
senna,54.26
pyke,50.14
renata glasc,53.82
soraka,51.81
alistar,52.05
nami,55.57
zilean,50.47
brand,50.96
maokai,49.66
shaco,46.67
rakan,52.89
seraphine,53.94
swain,50.15
janna,50.00
vel'koz,54.51
sona,50.79
pantheon,45.85
bard,52.40
tahm kench,49.73
rell,48.33
galio,52.25
veigar,51.79
neeko,46.56
braum,50.38
zac,58.20
sett,54.31
amumu,43.88
shen,51.16
anivia,53.95
taric,40.85
gragas,67.19
