opponent_name,champ_aatrox
jayce,52.65
fiora,48.84
irelia,46.26
akali,52.34
darius,47.25
sett,49.54
yone,50.00
renekton,50.37
tryndamere,49.91
garen,48.14
malphite,48.18
gangplank,52.75
teemo,51.68
riven,48.10
camille,49.31
gnar,53.35
graves,51.42
jax,49.93
shen,50.71
vayne,47.80
gragas,52.26
illaoi,45.65
mordekaiser,47.77
sion,50.36
kennen,48.22
gwen,55.75
nasus,49.10
volibear,51.92
ornn,47.25
sylas,53.05
tahm kench,45.18
yorick,45.53
poppy,44.28
rumble,49.86
ryze,53.95
urgot,49.18
trundle,49.23
viktor,52.72
yasuo,48.58
dr. mundo,56.72
kled,48.08
kayle,49.02
wukong,50.63
warwick,45.77
quinn,52.51
rengar,51.97
vladimir,52.94
singed,40.96
master yi,48.29
akshan,53.16
zac,46.98
heimerdinger,44.64
lucian,56.49
pantheon,50.37
maokai,44.87
cho'gath,47.83
cassiopeia,46.28
sejuani,48.89
