opponent_name,champ_akali
jayce,49.34
irelia,48.88
yone,53.16
tryndamere,48.81
fiora,49.45
aatrox,47.66
darius,49.17
renekton,48.81
garen,50.06
sett,48.24
gangplank,49.90
riven,48.14
malphite,52.79
graves,50.97
teemo,48.88
camille,49.35
jax,54.12
sylas,48.28
shen,45.45
vayne,49.25
gwen,58.01
gnar,50.44
gragas,49.87
nasus,48.41
kennen,47.16
mordekaiser,47.83
illaoi,45.37
yasuo,49.45
sion,47.09
poppy,45.13
ryze,51.06
viktor,55.10
rumble,50.13
tahm kench,46.84
yorick,44.04
ornn,47.20
volibear,53.25
trundle,46.77
kled,43.82
urgot,45.61
kayle,44.85
quinn,43.26
rengar,48.61
dr. mundo,48.31
vladimir,51.59
wukong,49.60
warwick,47.81
akshan,48.98
maokai,43.51
lucian,47.91
master yi,56.18
zac,45.07
singed,45.07
heimerdinger,48.21
cho'gath,49.65
pantheon,47.71
sejuani,42.21
cassiopeia,54.79
