opponent_name,champ_akshan
jayce,56.44
irelia,46.23
malphite,45.13
akali,51.02
fiora,54.55
yone,52.15
tryndamere,45.20
gangplank,53.53
graves,60.95
darius,48.61
aatrox,46.84
vayne,54.51
teemo,53.62
renekton,53.44
sett,49.60
garen,50.21
gnar,48.33
jax,46.50
kennen,56.35
riven,49.23
camille,48.33
shen,41.21
illaoi,60.98
viktor,47.40
nasus,43.15
rumble,55.71
gragas,56.93
yasuo,40.88
sion,49.22
sylas,56.80
gwen,56.91
ryze,50.00
quinn,48.67
poppy,49.53
lucian,58.49
kayle,42.16
volibear,51.72
mordekaiser,45.78
trundle,48.19
ornn,43.21
rengar,45.57
vladimir,61.04
wukong,41.33
tahm kench,44.59
yorick,40.85
urgot,54.29
master yi,43.75
kled,47.62
dr. mundo,49.18
warwick,59.26
cassiopeia,58.49
zac,42.00
