opponent_name,champ_camille
fiora,50.43
jayce,52.43
irelia,50.77
akali,50.65
aatrox,50.69
tryndamere,50.93
garen,52.38
darius,49.56
yone,52.40
renekton,51.03
malphite,47.89
sett,52.00
jax,53.02
riven,50.15
gangplank,51.68
graves,54.71
shen,44.38
teemo,45.41
gnar,51.83
vayne,47.52
gragas,51.41
gwen,51.36
nasus,50.63
poppy,49.74
illaoi,53.66
ornn,48.50
kennen,51.09
volibear,50.77
sion,50.11
mordekaiser,49.56
sylas,48.32
tahm kench,43.29
trundle,55.68
kled,54.10
yorick,45.45
ryze,53.74
viktor,46.82
rumble,51.01
warwick,46.34
kayle,48.10
rengar,48.60
urgot,51.07
yasuo,50.90
quinn,45.20
dr. mundo,52.61
master yi,58.47
wukong,53.69
singed,52.87
vladimir,55.46
zac,45.95
akshan,51.67
heimerdinger,51.23
lucian,48.37
pantheon,44.37
maokai,45.83
cho'gath,49.63
cassiopeia,43.33
sejuani,45.92
