opponent_name,champ_cassiopeia
jayce,56.72
teemo,57.38
irelia,51.66
darius,54.68
fiora,51.39
yone,55.83
tryndamere,48.77
aatrox,53.72
akali,45.21
malphite,51.16
garen,37.42
graves,55.00
gangplank,48.43
renekton,54.00
sett,53.15
vayne,53.60
jax,54.55
camille,56.67
gnar,50.85
viktor,47.41
riven,49.12
shen,47.79
illaoi,69.00
kennen,59.55
nasus,51.14
mordekaiser,58.14
sylas,56.25
ryze,56.96
gragas,64.10
yasuo,44.44
ornn,47.83
gwen,58.21
sion,49.21
volibear,60.66
rumble,49.18
poppy,62.71
yorick,35.09
warwick,64.81
tahm kench,41.51
akshan,41.51
