opponent_name,champ_chogath
jayce,58.92
fiora,48.68
tryndamere,44.11
akali,50.35
irelia,51.06
darius,53.74
malphite,58.71
yone,48.66
teemo,51.34
aatrox,52.17
sett,53.45
garen,50.23
gangplank,55.72
vayne,47.64
renekton,59.43
graves,57.58
shen,56.58
jax,53.19
nasus,43.70
camille,50.37
gwen,42.11
illaoi,49.61
sylas,44.25
riven,51.79
gnar,48.65
ornn,44.55
yorick,50.00
sion,46.94
kennen,44.90
gragas,51.58
yasuo,55.84
ryze,53.25
mordekaiser,56.58
volibear,56.00
tahm kench,54.79
trundle,50.00
poppy,56.34
viktor,50.72
kayle,55.00
urgot,52.63
warwick,44.44
quinn,50.94
kled,46.00
