opponent_name,champ_darius
jayce,49.42
irelia,50.22
tryndamere,53.99
fiora,51.28
sett,49.85
aatrox,52.75
akali,50.83
garen,50.29
renekton,54.32
yone,52.49
vayne,43.79
riven,47.34
malphite,49.69
teemo,46.45
gangplank,47.66
graves,55.28
jax,51.75
camille,50.44
illaoi,49.85
gnar,50.66
shen,49.83
kennen,48.32
nasus,49.59
volibear,50.24
mordekaiser,52.42
gwen,53.01
trundle,47.97
ornn,46.42
sion,53.86
tahm kench,49.35
gragas,54.11
yorick,45.07
quinn,44.71
poppy,55.56
wukong,48.40
kayle,44.40
ryze,51.92
sylas,51.19
viktor,50.61
rumble,51.93
yasuo,53.30
kled,47.32
dr. mundo,48.28
warwick,52.11
urgot,49.65
vladimir,51.76
master yi,57.00
rengar,57.03
singed,51.21
lucian,55.07
akshan,51.39
maokai,50.82
heimerdinger,47.14
zac,50.00
cho'gath,46.26
cassiopeia,45.32
sejuani,45.08
pantheon,46.29
