opponent_name,champ_drmundo
jayce,57.68
darius,51.72
aatrox,43.28
akali,51.69
irelia,51.75
sett,54.32
yone,52.16
tryndamere,49.67
fiora,48.87
teemo,47.68
vayne,47.78
garen,51.91
malphite,52.84
renekton,56.76
gangplank,55.59
nasus,43.04
graves,52.84
gnar,54.68
gwen,44.74
camille,47.39
jax,54.62
riven,43.80
illaoi,45.61
shen,45.78
kennen,52.60
volibear,58.28
mordekaiser,43.51
sylas,48.67
ornn,47.89
trundle,50.00
viktor,53.33
yorick,50.00
quinn,52.24
kayle,50.38
poppy,50.00
rumble,61.54
tahm kench,44.96
gragas,56.25
ryze,57.03
sion,48.03
urgot,48.57
warwick,57.14
kled,49.48
yasuo,54.84
vladimir,53.01
master yi,53.33
singed,57.33
heimerdinger,50.00
rengar,46.48
wukong,53.73
akshan,50.82
maokai,50.00
