opponent_name,champ_fiora
irelia,51.04
jayce,51.94
tryndamere,51.14
aatrox,51.16
akali,50.55
darius,48.72
yone,53.69
malphite,48.48
sett,48.10
camille,49.57
riven,49.42
renekton,50.78
garen,49.48
jax,53.49
gangplank,50.84
graves,51.88
vayne,48.05
teemo,50.71
shen,48.60
gnar,51.16
gwen,54.78
nasus,50.56
kennen,50.49
illaoi,50.56
mordekaiser,52.34
gragas,49.84
ornn,49.21
sion,53.70
trundle,49.28
sylas,53.97
poppy,46.74
tahm kench,49.45
volibear,54.04
ryze,53.91
kayle,45.37
viktor,48.09
yorick,47.32
yasuo,49.79
warwick,45.55
quinn,46.06
wukong,47.38
rumble,47.44
urgot,49.02
rengar,51.93
vladimir,47.58
dr. mundo,51.13
akshan,45.45
lucian,54.50
master yi,61.67
kled,53.56
zac,48.21
cho'gath,51.32
singed,51.35
heimerdinger,51.25
maokai,54.44
cassiopeia,48.61
pantheon,52.04
sejuani,46.24
