opponent_name,champ_gangplank
jayce,49.06
irelia,47.03
akali,50.10
fiora,49.16
aatrox,47.25
tryndamere,46.49
darius,52.34
yone,50.92
malphite,49.11
renekton,53.30
garen,45.07
riven,46.97
sett,49.75
graves,52.57
gnar,48.32
jax,49.02
shen,47.50
teemo,48.04
camille,48.32
nasus,47.16
lucian,51.41
vayne,49.78
gragas,49.62
ryze,49.07
gwen,47.73
illaoi,47.29
viktor,46.49
tahm kench,43.06
kennen,51.27
vladimir,46.17
rumble,51.10
sion,47.25
mordekaiser,46.01
sylas,51.40
yorick,44.30
ornn,49.05
kayle,42.23
quinn,44.19
poppy,49.24
yasuo,48.97
rengar,44.39
trundle,45.18
volibear,49.61
urgot,47.50
akshan,46.47
dr. mundo,44.41
wukong,52.31
kled,46.25
warwick,48.44
master yi,50.41
zac,48.61
singed,47.89
cho'gath,44.28
heimerdinger,48.40
cassiopeia,51.57
maokai,54.11
pantheon,50.79
sejuani,45.83
