opponent_name,champ_garen
irelia,55.78
jayce,55.21
darius,49.71
akali,49.94
yone,54.03
aatrox,51.86
tryndamere,48.61
fiora,50.52
sett,50.05
vayne,46.01
renekton,56.52
jax,55.72
malphite,53.05
riven,53.87
teemo,49.87
camille,47.62
graves,53.40
gangplank,54.93
shen,50.98
nasus,52.84
gnar,50.14
illaoi,52.45
gwen,59.62
mordekaiser,47.10
sion,53.53
quinn,45.90
kayle,43.26
volibear,54.04
gragas,53.37
ornn,52.46
kennen,53.85
trundle,47.22
poppy,53.54
tahm kench,47.54
sylas,52.11
yorick,50.27
viktor,49.81
yasuo,56.10
wukong,58.32
ryze,55.19
rumble,56.67
rengar,51.83
urgot,45.34
kled,50.00
warwick,54.10
dr. mundo,48.09
master yi,58.31
singed,46.39
vladimir,50.81
heimerdinger,50.37
lucian,58.23
zac,52.46
akshan,49.79
cho'gath,49.77
maokai,54.14
sejuani,43.93
cassiopeia,62.58
pantheon,54.76
