opponent_name,champ_gragas
jayce,52.03
tryndamere,46.41
akali,50.13
aatrox,47.74
irelia,49.54
fiora,50.16
yone,48.84
darius,45.89
jax,53.65
renekton,51.58
malphite,49.65
riven,46.12
camille,48.59
garen,46.63
gangplank,50.38
teemo,47.00
sett,48.92
graves,52.54
gnar,52.20
shen,41.70
vayne,47.29
sylas,45.41
gwen,53.10
nasus,47.61
kennen,54.15
sion,43.75
illaoi,46.32
mordekaiser,46.59
poppy,46.09
rengar,49.19
ornn,50.42
tahm kench,50.84
volibear,49.15
viktor,52.16
rumble,47.62
ryze,48.91
kayle,48.21
trundle,51.12
kled,52.31
yorick,47.06
wukong,48.24
yasuo,52.28
quinn,49.19
urgot,48.59
warwick,42.17
zac,44.60
akshan,43.07
vladimir,51.54
dr. mundo,43.75
master yi,48.76
heimerdinger,45.05
singed,44.55
lucian,49.54
cho'gath,48.42
sejuani,49.45
maokai,39.51
pantheon,46.84
cassiopeia,35.90
