opponent_name,champ_graves
jayce,51.25
irelia,45.36
tryndamere,43.41
akali,49.03
fiora,48.12
darius,44.72
yone,49.62
aatrox,48.58
garen,46.60
renekton,50.08
malphite,47.08
sett,45.70
teemo,48.41
gangplank,47.43
jax,48.76
riven,48.86
vayne,47.67
gnar,46.56
camille,45.29
shen,46.74
gwen,51.98
nasus,44.57
kennen,47.83
gragas,47.46
illaoi,49.91
ornn,46.53
sion,49.90
yasuo,45.47
poppy,46.57
ryze,56.00
viktor,46.74
yorick,48.37
mordekaiser,44.84
volibear,52.02
trundle,47.75
sylas,51.05
tahm kench,43.40
kayle,46.30
rumble,44.23
quinn,44.76
akshan,39.05
urgot,51.06
wukong,47.87
dr. mundo,47.16
rengar,46.78
kled,47.75
vladimir,48.91
warwick,50.00
lucian,48.48
master yi,50.43
singed,50.88
heimerdinger,53.19
zac,45.65
cho'gath,42.42
cassiopeia,45.00
maokai,47.30
pantheon,41.80
sejuani,46.55
