opponent_name,champ_gwen
jayce,45.39
fiora,45.22
akali,41.99
irelia,43.66
tryndamere,43.71
yone,43.96
sett,43.44
darius,46.99
aatrox,44.25
renekton,49.62
garen,40.38
jax,45.12
malphite,46.11
riven,40.23
camille,48.64
graves,48.02
shen,46.49
gangplank,52.27
teemo,42.25
gnar,44.73
nasus,42.27
illaoi,50.00
vayne,40.74
sion,47.74
gragas,46.90
tahm kench,47.39
ornn,48.72
yorick,51.21
trundle,49.11
kennen,47.73
mordekaiser,46.65
volibear,46.43
sylas,45.57
kayle,39.39
poppy,47.47
dr. mundo,55.26
viktor,40.00
yasuo,39.84
rumble,49.12
kled,47.11
urgot,43.05
rengar,50.23
warwick,46.08
ryze,48.50
wukong,41.85
master yi,42.13
quinn,41.25
singed,35.76
vladimir,44.52
cho'gath,57.89
zac,41.41
akshan,43.09
maokai,52.03
heimerdinger,44.74
lucian,44.00
pantheon,40.96
sejuani,45.33
cassiopeia,41.79
