opponent_name,champ_heimerdinger
jayce,47.38
irelia,43.20
tryndamere,47.12
teemo,49.35
akali,51.79
yone,52.01
darius,52.86
aatrox,55.36
fiora,48.75
malphite,54.55
garen,49.63
renekton,53.24
riven,43.84
sett,44.62
graves,46.81
gangplank,51.60
camille,48.77
jax,57.50
shen,52.50
nasus,50.98
gnar,51.33
vayne,58.39
kennen,48.61
sion,42.15
yorick,40.83
viktor,50.86
illaoi,50.43
gwen,55.26
gragas,54.95
yasuo,50.46
mordekaiser,46.15
ryze,50.00
ornn,44.55
kayle,40.22
sylas,52.81
tahm kench,59.30
rumble,51.90
dr. mundo,50.00
poppy,55.41
trundle,54.93
quinn,44.29
wukong,55.22
lucian,37.88
vladimir,53.13
volibear,57.38
urgot,48.08
kled,64.00
