opponent_name,champ_illaoi
darius,50.15
jayce,51.29
irelia,51.25
tryndamere,51.19
aatrox,54.35
garen,47.55
fiora,49.44
yone,53.50
sett,51.81
renekton,58.11
akali,54.63
mordekaiser,48.59
malphite,53.77
vayne,46.69
riven,52.26
graves,50.09
camille,46.34
gangplank,52.71
teemo,47.36
nasus,55.71
jax,55.58
shen,50.64
gnar,51.10
gwen,50.00
ornn,56.76
tahm kench,49.73
sion,54.32
trundle,49.58
yorick,41.76
volibear,54.70
kayle,41.76
kennen,51.64
sylas,58.86
gragas,53.68
poppy,50.18
yasuo,51.15
viktor,42.69
warwick,54.94
ryze,55.79
dr. mundo,54.39
rumble,50.68
rengar,47.42
urgot,50.00
kled,50.51
wukong,50.77
lucian,55.26
quinn,47.75
akshan,39.02
vladimir,53.02
master yi,57.24
cho'gath,50.39
singed,52.42
zac,53.66
heimerdinger,49.57
cassiopeia,31.00
maokai,47.42
pantheon,47.69
sejuani,49.15
