opponent_name,champ_irelia
jayce,55.83
fiora,48.96
akali,51.12
sett,46.00
yone,53.20
tryndamere,45.13
aatrox,53.74
darius,49.78
renekton,50.55
garen,44.22
jax,48.81
malphite,48.10
riven,45.26
gangplank,52.97
graves,54.64
teemo,47.19
camille,49.23
vayne,51.14
gnar,55.35
shen,45.77
kennen,51.67
gwen,56.34
illaoi,48.75
nasus,49.47
trundle,48.03
sylas,50.04
poppy,42.67
gragas,50.46
volibear,46.68
mordekaiser,49.61
yasuo,50.91
viktor,51.90
ryze,57.99
ornn,49.44
tahm kench,48.69
sion,54.18
warwick,41.17
rumble,51.03
yorick,53.55
kayle,52.53
quinn,50.07
kled,51.29
urgot,45.06
master yi,53.62
wukong,50.00
vladimir,52.56
rengar,47.52
dr. mundo,48.25
akshan,53.77
singed,45.71
lucian,57.68
zac,43.36
heimerdinger,56.80
maokai,47.80
cassiopeia,48.34
cho'gath,48.94
sejuani,45.00
pantheon,49.37
