opponent_name,champ_jayce
irelia,44.17
malphite,43.36
akali,50.66
aatrox,47.35
yone,49.64
tryndamere,47.14
fiora,48.06
darius,50.58
graves,48.75
renekton,46.93
gangplank,50.94
sett,47.56
garen,44.79
teemo,50.26
gnar,49.58
riven,46.13
gragas,47.97
camille,47.57
jax,52.01
vayne,50.97
lucian,50.48
kennen,50.05
gwen,54.61
shen,48.28
nasus,43.42
yorick,42.32
viktor,43.25
ornn,44.14
sion,46.82
poppy,42.54
wukong,45.27
quinn,46.57
rumble,45.73
sylas,47.91
illaoi,48.71
dr. mundo,42.32
tahm kench,44.72
ryze,52.44
yasuo,46.09
rengar,41.63
volibear,48.01
mordekaiser,46.93
akshan,43.46
kayle,45.92
trundle,50.28
vladimir,46.61
urgot,46.25
kled,46.13
warwick,44.39
master yi,57.86
heimerdinger,52.62
cho'gath,41.08
singed,51.11
pantheon,42.25
cassiopeia,43.28
zac,43.60
maokai,42.57
sejuani,49.04
