opponent_name,champ_kayle
jayce,54.08
tryndamere,50.51
fiora,54.63
darius,55.60
irelia,47.47
garen,56.74
yone,48.71
akali,55.15
aatrox,50.98
gangplank,57.77
sett,55.25
renekton,58.76
malphite,50.56
jax,48.92
nasus,50.73
teemo,50.13
graves,53.70
shen,55.87
riven,51.42
illaoi,58.24
vayne,50.93
camille,51.90
gwen,60.61
gnar,50.69
sion,44.36
sylas,51.00
ornn,47.33
yorick,51.25
gragas,51.79
kennen,49.76
poppy,57.07
viktor,51.02
tahm kench,48.97
trundle,49.15
ryze,53.49
rumble,53.25
yasuo,49.09
mordekaiser,54.27
kled,50.65
quinn,53.64
urgot,55.80
volibear,55.97
dr. mundo,49.62
vladimir,54.26
lucian,51.16
rengar,56.00
wukong,51.43
master yi,52.43
akshan,57.84
warwick,52.63
singed,56.99
heimerdinger,59.78
cho'gath,45.00
maokai,57.41
zac,51.92
