opponent_name,champ_kennen
jayce,49.95
irelia,48.33
darius,51.68
fiora,49.51
malphite,47.18
akali,52.84
aatrox,51.78
yone,51.88
teemo,47.23
tryndamere,49.35
sett,48.41
renekton,47.77
sylas,48.84
garen,46.15
graves,52.17
jax,57.02
nasus,41.91
gangplank,48.73
gnar,48.73
vayne,46.53
riven,49.15
camille,48.91
shen,45.29
gwen,52.27
gragas,45.85
sion,41.93
ryze,46.33
illaoi,48.36
viktor,46.69
quinn,43.88
poppy,51.33
yorick,45.49
rumble,47.60
volibear,59.76
yasuo,51.67
tahm kench,49.36
ornn,51.15
vladimir,48.15
kayle,50.24
akshan,43.65
mordekaiser,48.47
trundle,51.04
kled,56.99
lucian,44.89
dr. mundo,47.40
urgot,50.92
rengar,48.05
wukong,48.67
heimerdinger,51.39
warwick,47.45
master yi,52.88
maokai,43.00
cho'gath,55.10
singed,55.67
zac,43.01
cassiopeia,40.45
sejuani,50.00
pantheon,46.03
