opponent_name,champ_lucian
jayce,49.52
gangplank,48.59
vayne,52.41
irelia,42.32
fiora,45.50
malphite,41.22
akali,52.09
yone,46.76
darius,44.93
teemo,43.77
tryndamere,42.76
aatrox,43.51
sett,45.14
garen,41.77
renekton,42.80
graves,51.52
quinn,46.34
gnar,50.00
illaoi,44.74
kennen,55.11
riven,52.80
camille,51.63
jax,51.63
shen,41.67
viktor,48.85
kayle,48.84
nasus,50.00
yasuo,45.08
gragas,50.46
akshan,41.51
yorick,34.62
ryze,50.96
sylas,53.47
gwen,56.00
ornn,44.09
sion,46.74
mordekaiser,53.25
trundle,51.32
poppy,53.33
rumble,44.00
volibear,50.00
urgot,39.19
tahm kench,48.61
vladimir,53.62
heimerdinger,62.12
warwick,33.87
wukong,40.98
kled,58.33
rengar,56.00
