opponent_name,champ_malphite
jayce,56.64
tryndamere,55.25
sylas,42.30
teemo,51.59
fiora,51.52
irelia,51.90
yone,51.49
aatrox,51.82
vayne,58.08
darius,50.31
akali,47.21
garen,46.95
sett,50.74
renekton,51.12
gangplank,50.89
jax,55.40
nasus,44.88
riven,49.26
camille,52.11
graves,52.92
gnar,53.71
kennen,52.82
shen,48.39
quinn,53.22
mordekaiser,44.62
illaoi,46.23
ornn,44.16
gwen,53.89
gragas,50.35
sion,43.62
ryze,54.03
trundle,51.23
tahm kench,47.71
yorick,41.22
rumble,49.71
viktor,51.12
yasuo,51.94
volibear,52.08
akshan,54.87
kayle,49.44
poppy,51.64
lucian,58.78
vladimir,47.12
wukong,55.10
master yi,47.37
rengar,51.41
dr. mundo,47.16
urgot,53.71
kled,51.81
warwick,46.97
heimerdinger,45.45
cho'gath,41.29
singed,42.13
zac,44.66
maokai,46.12
cassiopeia,48.84
sejuani,43.41
pantheon,48.33
