opponent_name,champ_maokai
jayce,57.43
akali,56.49
irelia,52.20
darius,49.18
aatrox,55.13
yone,52.49
tryndamere,50.00
fiora,45.56
malphite,53.88
sett,44.62
garen,45.86
riven,48.54
renekton,52.44
jax,54.60
teemo,51.59
graves,52.70
gangplank,45.89
camille,54.17
shen,54.26
gwen,47.97
nasus,40.16
vayne,60.00
sylas,52.25
kennen,57.00
illaoi,52.58
sion,58.76
gnar,47.83
mordekaiser,48.19
ornn,48.78
gragas,60.49
volibear,43.48
rumble,60.29
viktor,39.39
yasuo,59.38
rengar,57.38
trundle,52.54
poppy,60.34
tahm kench,42.86
dr. mundo,50.00
kayle,42.59
ryze,62.26
quinn,50.94
warwick,51.92
yorick,48.08
wukong,44.00
