opponent_name,champ_masteryi
jayce,42.14
irelia,46.38
tryndamere,44.44
yone,42.57
fiora,38.33
darius,43.00
malphite,52.63
akali,43.82
jax,42.21
aatrox,51.71
garen,41.69
sett,31.47
renekton,40.13
camille,41.53
gangplank,49.59
teemo,40.91
graves,49.57
riven,37.14
shen,39.78
gwen,57.87
vayne,36.63
gnar,45.63
nasus,55.10
illaoi,42.76
gragas,51.24
yorick,44.17
sion,45.38
sylas,49.57
yasuo,40.00
trundle,43.48
kennen,47.12
kayle,47.57
mordekaiser,48.54
ornn,43.00
volibear,48.42
tahm kench,47.37
quinn,43.48
poppy,38.46
urgot,33.33
rengar,44.05
warwick,44.05
viktor,41.46
rumble,46.91
dr. mundo,46.67
ryze,47.22
akshan,56.25
wukong,33.87
kled,33.33
vladimir,46.30
