opponent_name,champ_mordekaiser
darius,47.58
irelia,50.39
jayce,53.07
aatrox,52.23
akali,52.17
fiora,47.66
garen,52.90
sett,51.91
renekton,56.45
illaoi,51.41
malphite,55.38
tryndamere,48.13
yone,44.87
shen,52.58
riven,51.35
vayne,40.83
gangplank,53.99
jax,48.39
teemo,46.60
camille,50.44
graves,55.16
yorick,49.63
gnar,53.58
nasus,49.31
ornn,54.94
gwen,53.35
poppy,56.13
volibear,50.16
tahm kench,51.34
sion,54.79
trundle,50.55
gragas,53.41
sylas,54.65
urgot,48.39
kled,54.55
kennen,51.53
wukong,57.65
rumble,53.76
yasuo,49.14
viktor,52.02
kayle,45.73
warwick,43.83
ryze,47.10
dr. mundo,56.49
zac,52.98
rengar,46.09
quinn,47.11
singed,56.20
vladimir,45.87
heimerdinger,53.85
master yi,51.46
cassiopeia,41.86
maokai,51.81
akshan,54.22
lucian,46.75
cho'gath,43.42
sejuani,54.10
