opponent_name,champ_nasus
jayce,56.58
tryndamere,51.47
malphite,55.12
irelia,50.53
akali,51.59
darius,50.41
fiora,49.44
garen,47.16
yone,47.34
teemo,52.22
aatrox,50.90
vayne,54.19
sett,50.00
renekton,52.48
gangplank,52.84
camille,49.37
graves,55.43
gnar,53.73
riven,44.87
shen,50.17
jax,55.44
illaoi,44.29
kennen,58.09
gwen,57.73
yorick,50.12
kayle,49.27
sion,48.40
sylas,45.30
mordekaiser,50.69
gragas,52.39
ornn,48.56
volibear,48.11
dr. mundo,56.96
ryze,61.34
tahm kench,47.33
trundle,52.98
poppy,50.75
yasuo,57.49
viktor,51.84
urgot,55.79
quinn,45.99
vladimir,55.90
rumble,53.85
singed,51.46
kled,53.06
wukong,43.86
rengar,53.05
warwick,54.49
heimerdinger,49.02
master yi,44.90
akshan,56.85
cho'gath,56.30
zac,46.27
lucian,50.00
maokai,59.84
cassiopeia,48.86
sejuani,40.00
pantheon,52.17
