opponent_name,champ_ornn
jayce,55.86
fiora,50.79
irelia,50.56
darius,53.58
aatrox,52.75
malphite,55.84
akali,52.80
yone,52.06
sett,54.92
tryndamere,49.86
vayne,54.03
garen,47.54
renekton,53.63
teemo,51.72
sylas,50.89
camille,51.50
gangplank,50.95
graves,53.47
riven,53.32
jax,55.71
illaoi,43.24
gnar,56.17
shen,47.45
gwen,51.28
nasus,51.44
mordekaiser,45.06
sion,50.00
yorick,50.20
kayle,52.67
gragas,49.58
poppy,47.41
trundle,49.56
volibear,48.17
kennen,48.85
tahm kench,52.11
ryze,58.15
viktor,52.27
rumble,54.02
yasuo,54.12
vladimir,45.40
quinn,48.98
urgot,57.34
dr. mundo,52.11
kled,47.76
warwick,56.15
rengar,50.78
wukong,50.00
singed,54.81
cho'gath,55.45
heimerdinger,55.45
master yi,57.00
zac,42.42
lucian,55.91
maokai,51.22
akshan,56.79
cassiopeia,52.17
sejuani,67.86
